time (sec),vo2 (mL/kg/min)
0.0,4.74
0.76,4.42
7.19,4.14
9.69,4.1
13.08,4.28
16.13,4.21
18.28,4.54
20.4,4.44
27.58,4.88
28.69,4.61
33.55,6.52
35.28,5.48
36.47,5.34
38.3,5.64
40.66,6.64
45.83,5.59
51.15,6.91
58.61,6.46
59.28,8.13
61.73,6.36
65.89,4.94
68.57,7.24
70.79,6.52
73.65,5.17
75.07,6.27
76.07,5.84
78.63,8.29
82.88,7.29
86.48,7.36
90.96,7.54
96.21,8.52
100.0,7.22
103.26,8.06
103.75,9.53
107.45,8.98
111.91,9.49
115.66,9.66
117.89,7.99
120.6,11.86
123.15,9.55
125.55,9.2
127.21,7.57
129.93,10.82
133.01,9.97
136.28,10.0
137.8,10.53
142.32,11.25
145.54,11.42
146.74,10.87
150.35,11.76
152.85,9.94
154.15,8.95
155.49,10.73
158.66,11.39
161.45,11.88
163.28,12.49
165.64,13.01
168.29,11.37
169.79,13.43
173.69,13.71
175.4,10.84
179.01,11.37
180.43,11.72
184.17,13.89
185.61,16.88
193.23,17.13
194.98,13.49
198.87,11.1
199.57,12.1
200.51,15.6
202.51,15.43
203.6,17.91
204.41,13.56
206.51,12.87
207.33,18.71
209.27,14.96
211.85,16.97
214.42,15.76
216.57,16.98
219.16,17.14
223.2,13.3
225.24,14.02
226.65,14.21
227.55,15.89
228.82,20.58
231.6,16.46
232.42,16.33
234.34,16.53
236.06,12.79
239.78,17.23
242.65,16.75
243.55,16.49
244.74,20.32
247.75,15.9
250.06,15.91
251.02,17.2
256.78,15.85
258.45,16.92
263.19,15.79
268.34,16.26
269.95,19.92
271.68,17.44
272.63,18.44
275.61,24.21
276.9,19.18
278.98,19.72
281.86,18.0
283.29,21.32
286.67,20.19
291.24,18.58
293.44,20.05
294.42,24.34
296.65,18.64
298.02,20.23
299.14,21.95
300.41,16.97
302.6,27.13
303.82,23.78
306.51,23.04
307.29,25.14
308.74,24.33
311.52,17.94
314.8,19.53
318.12,21.7
321.89,20.86
322.71,23.05
324.56,22.0
326.9,26.39
327.21,22.47
328.67,19.98
332.63,20.27
334.94,23.31
336.26,20.18
338.79,18.19
339.96,20.65
342.86,25.44
345.17,20.46
347.52,21.77
348.61,20.84
350.41,24.69
354.98,28.76
356.86,26.41
359.88,28.23
362.04,23.22
364.79,23.8
365.86,25.82
367.51,26.82
371.01,30.42
375.35,32.12
375.95,23.88
377.44,29.11
380.97,24.9
382.33,26.04
385.31,29.15
387.76,27.64
391.38,28.16
393.91,26.43
396.55,27.16
398.03,29.45
399.75,37.53
400.23,22.99
402.58,31.71
404.93,30.27
405.98,31.11
407.37,32.95
408.38,29.96
410.05,27.09
411.41,25.28
412.97,34.77
415.43,30.21
418.49,28.01
419.85,29.16
421.55,33.9
422.79,34.36
423.32,32.6
425.24,28.29
426.21,35.84
427.31,27.85
430.22,34.66
431.04,24.36
431.37,31.21
433.23,35.9
435.34,34.07
437.07,31.74
438.29,25.28
440.75,29.17
442.62,35.46
443.68,37.05
444.75,28.63
446.83,32.7
448.11,32.37
449.03,32.96
449.8,35.64
450.68,27.21
451.21,37.3
451.41,39.33
452.98,30.39
454.2,35.52
455.36,32.76
456.16,28.43
458.73,36.99
459.85,33.95
463.22,28.78
464.55,34.65
465.29,30.69
466.26,36.92
468.33,37.18
470.87,39.05
472.7,38.06
473.76,31.03
474.9,33.0
476.29,36.95
478.71,33.9
479.89,38.99
481.42,34.85
484.98,42.97
486.04,35.66
487.97,29.87
489.13,33.46
489.73,38.7
491.32,33.76
492.54,34.72
499.13,39.52
500.8,31.94
501.55,35.7
502.6,37.39
504.88,34.57
506.66,36.55
507.31,31.73
510.18,48.25
511.77,46.13
512.44,30.96
513.25,32.67
514.11,35.17
515.84,47.26
517.19,30.25
518.35,39.91
520.16,31.38
520.53,41.04
521.05,47.27
522.16,38.18
523.49,38.67
524.27,32.24
524.47,45.43
525.73,43.06
527.56,38.12
528.06,41.67
529.3,35.79
531.29,32.49
532.33,47.62
532.91,39.93
535.17,46.34
537.1,37.72
539.83,31.72
540.89,44.6
542.51,39.02
544.09,35.66
545.79,41.9
546.27,41.78
548.39,45.41
550.44,40.46
550.82,44.41
552.34,36.76
553.57,37.85
556.21,44.9
557.09,32.58
561.03,44.91
561.89,43.66
562.08,44.39
562.79,43.27
564.27,40.65
564.71,46.57
566.44,42.11
566.72,48.37
568.26,44.52
569.39,44.72
570.49,40.35
571.06,45.71
572.96,44.32
574.0,47.42
575.29,49.92
575.93,41.43
576.8,24.13
577.55,51.25
578.77,47.96
579.95,49.45
580.54,45.55
581.59,48.96
582.56,42.34
584.44,45.81
585.34,48.42
586.42,35.02
588.33,47.88
589.54,46.24
591.23,34.42
591.89,47.16
593.92,46.38
594.83,32.36
595.88,44.14
596.28,43.21
597.06,49.75
597.83,43.87
599.11,44.34
599.78,42.71
